Id,FinServ__NetWorth__c,FinServ__CreditRating__c,Tier__c,FinServ__LifetimeValue__c,FinServ__LastUsedChannel__c,Ownership,TickerSymbol
001am00000qvjs6AAA,98000000,Poor,C,1715000,Web,Subsidiary,
001am00000qvju7AAA,396681624,Poor,C,6941928,Other,Private,
001am00000qvjtxAAA,5000000,Fair,C,87500,Other,Private,
001am00000qvjs5AAA,336000000,Excellent,C,5880000,Other,Private,
001am00000qvju5AAA,6800000,Excellent,C,119000,Branch,Private,
001am00000qvjszAAA,20000000,Excellent,C,350000,Branch,Private,
001am00000qvjsPAAQ,308000000,Excellent,C,5390000,Web,Public,AIMS
001am00000qvjsuAAA,960000000,Poor,C,16800000,Call Center,Private,
001am00000qvjsdAAA,22400000000,Good,C,392000000,Other,Private,
001am00000qvjuBAAQ,2520000000,Poor,C,44100000,Call Center,Subsidiary,
001am00000qvjsaAAA,2040000000,Fair,C,35700000,Other,Subsidiary,
001am00000qvjsbAAA,84000000,Poor,C,1470000,Call Center,Private,
001am00000qvjtvAAA,169112000000,Poor,C,2959460000,Web,Private,
001am00000qvjttAAA,154273639316,Poor,C,2699788688,Branch,Other,
001am00000qvjtsAAA,311415664,Fair,C,5449774,Call Center,Private,
001am00000qvjtrAAA,315542528,Good,C,5521994,Web,Private,
001am00000qvjtnAAA,27570188,Good,C,482478,Web,Private,
001am000024DYoYAAW,3208104,Fair,C,56141,Call Center,Subsidiary,
001am00000qvjtkAAA,54398351304,Good,C,951971147,Call Center,Subsidiary,
001am00000qvjseAAA,12000000,Fair,C,210000,Other,Private,
001am00000qvjtqAAA,5000000000,Poor,C,87500000,Other,Other,
001am00000qvjuIAAQ,229459108,Poor,C,4015534,Web,Private,
001am00000qvjuKAAQ,237760592,Fair,C,4160810,Other,Private,
001am000024D5yBAAS,3607832,Fair,C,63137,Mobile,Private,
001am000024DYohAAG,2611252,Fair,C,45696,Branch,Public,BULL
001am00000qvjtVAAQ,14179528,Good,C,248141,Mobile,Private,
001am00000qvjtaAAA,49964000000,Good,C,874370000,Branch,Private,
001am000024DYogAAG,238676,Fair,C,25000,Other,Private,
001am00000qvjtlAAA,20420064,Fair,C,357351,Branch,Private,
001am00000qvjsOAAQ,840000000,Fair,C,14700000,Mobile,Private,
001am00000qvju3AAA,371803116,Excellent,C,6506554,Mobile,Private,
001am00000qvjs9AAA,13600000000,Excellent,C,238000000,Web,Other,
001am000024DYocAAG,2290780,Poor,C,40088,Other,Subsidiary,
001am00000qvjsmAAA,14400000,Good,C,252000,Branch,Private,
001am00000qvju2AAA,114854610528,Poor,C,2009955684,Other,Private,
001am00000qvjsXAAQ,37200000000,Excellent,C,651000000,Branch,Private,
001am00000qvjsEAAQ,20000000,Fair,C,350000,Web,Private,
001am000024DYoZAAW,916480,Good,C,25000,Call Center,Other,
001am00000qvjsqAAA,332000000,Poor,C,5810000,Web,Private,
001am000024D5y3AAC,1698992,Good,C,29732,Branch,Private,
001am000024DYodAAG,1597896,Excellent,C,27963,Other,Private,
