Id,FinServ_Category__pc,FinServ_Contact_Status__pc,FinServ__CommunicationPreferences__pc,FinServ__ContactPreference__pc,FinServ__LastUsedChannel__c
001am00000qvjsAAAQ,Bronze,Client,Fraud:Email;Balance Activities:Email,Phone,Call Center
001am00000qvjsBAAQ,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Call Center
001am00000qvjtbAAA,Bronze,Client,Fraud:Email;Balance Activities:Email,Mobile,Branch
001am00000qvjtSAAQ,Bronze,Client,Fraud:Email;Balance Activities:Email,Phone,Call Center
001am00000qvjtTAAQ,Bronze,Client,Fraud:Email;Balance Activities:Email,Email,Other
001am00000qvjtIAAQ,Bronze,Client,Fraud:Email;Balance Activities:Email,Email,Mobile
001am00000qvjtGAAQ,Bronze,Client,Fraud:Email;Balance Activities:Email,Phone,Other
001am00000qvjsDAAQ,Bronze,Client,Fraud:Email;Balance Activities:Email,Email,Mobile
001am00000qvjtFAAQ,Bronze,Client,Fraud:Email;Balance Activities:Email,Email,Mobile
001am00000qvjtiAAA,Bronze,Client,Fraud:Email;Balance Activities:Email,Phone,Branch
001am00000qvjtgAAA,Bronze,Client,Fraud:Email;Balance Activities:Email,Phone,Mobile
001am00000qvjtRAAQ,Bronze,Client,Fraud:Email;Balance Activities:Email,Phone,Web
001am00000qvjt2AAA,Bronze,Client,Fraud:Email;Balance Activities:Email,Mobile,Web
001am00000qvjthAAA,Bronze,Client,Fraud:Email;Balance Activities:Email,Mobile,Web
001am00000qvjt4AAA,Bronze,Client,Fraud:Email;Balance Activities:Email,Email,Branch
001am00000qvjsHAAQ,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Branch
001am00000qvjt1AAA,Bronze,Client,Fraud:Email;Balance Activities:Email,Mobile,Web
001am00000qvjsFAAQ,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Other
001am00000qvjtdAAA,Bronze,Client,Fraud:Email;Balance Activities:Email,Mobile,Branch
001am00000qvjsJAAQ,Bronze,Client,Fraud:Email;Balance Activities:Email,Phone,Call Center
001am00000qvjtcAAA,Bronze,Client,Fraud:Email;Balance Activities:Email,Phone,Call Center
001am00000qvjtDAAQ,Bronze,Client,Fraud:Email;Balance Activities:Email,Email,Other
001am00000qvjtOAAQ,Bronze,Client,Fraud:Email;Balance Activities:Email,Mobile,Call Center
001am00000qvjtCAAQ,Bronze,Client,Fraud:Email;Balance Activities:Email,Mobile,Branch
001am00000qvjt3AAA,Bronze,Client,Fraud:Email;Balance Activities:Email,Phone,Call Center
001am00000qvjs7AAA,Bronze,Client,Fraud:Email;Balance Activities:Email,Email,Mobile
001am00000qvjt7AAA,Bronze,Client,Fraud:Email;Balance Activities:Email,Phone,Branch
001am00000qvjt6AAA,Bronze,Client,Fraud:Email;Balance Activities:Email,Mobile,Branch
001am00000qvjtBAAQ,Bronze,Client,Fraud:Email;Balance Activities:Email,Phone,Other
001am00000qvjtNAAQ,Bronze,Client,Fraud:Email;Balance Activities:Email,Phone,Other
001am00000qvjtPAAQ,Bronze,Client,Fraud:Email;Balance Activities:Email,Phone,Mobile
001am00000qvjtJAAQ,Bronze,Client,Fraud:Email;Balance Activities:Email,Phone,Other
001am00000qvjsGAAQ,Bronze,Client,Fraud:Email;Balance Activities:Email,Email,Branch
001am00000qvjtEAAQ,Bronze,Client,Fraud:Email;Balance Activities:Email,Phone,Call Center
001am00000qvjtfAAA,Bronze,Client,Fraud:Email;Balance Activities:Email,Phone,Mobile
001am00000qvjt9AAA,Bronze,Client,Fraud:Email;Balance Activities:Email,Email,Call Center
001am00000qvjsCAAQ,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Mobile
001am00000qvjt0AAA,Bronze,Client,Fraud:Email;Balance Activities:Email,Email,Call Center
001am00000qvjt5AAA,Bronze,Client,Fraud:Email;Balance Activities:Email,Phone,Web
001am00000qvjt8AAA,Bronze,Client,Fraud:Email;Balance Activities:Email,Phone,Branch
