Stream Name,Label,Data Source,Source Object,Connector Type,Data Stream Type,Category,Status,Status Health,Enabled,Last Run Status,Run Health,Last Refresh Date,Total Records,Last Added Records,Last Processed Records,DLO Name,DLO Status,Mapped DMO(s),Mapping Count,Refresh Mode,Frequency Type,Record ID
AbnExperiment_Home,AbnExperiment_Home,SalesforceDotCom_Home,AbnExperiment,SalesforceDotCom,SFDC_PACKAGE_KIT,Other,ACTIVE,OK,True,SUCCESS,OK,2026-07-02T16:50:36.000Z,0,0,0,AbnExperiment_Home__dll,ACTIVE,ssot__AbnExperiment__dlm,1,UPSERT,BATCH,1dsam000000LmXuAAK
AbnExperimentCohort_Home,AbnExperimentCohort_Home,SalesforceDotCom_Home,AbnExperimentCohort,SalesforceDotCom,SFDC_PACKAGE_KIT,Other,ACTIVE,OK,True,SUCCESS,OK,2026-07-02T16:50:36.000Z,0,0,0,AbnExperimentCohort_Home__dll,ACTIVE,ssot__AbnExperimentCohort__dlm,1,UPSERT,BATCH,1dsam000000LmXtAAK
account_Databricks,account_Databricks,Databricks_Databricks,,Databricks,EXTERNAL,Profile,ACTIVE,OK,True,NONE,WARN,,3,,,account_Databricks__dll,ACTIVE,,0,TOTAL_REPLACE,,1dsam000000PXFJAA4
Account_DCCDO1,Account_DCCDO1,SalesforceDotCom_DCCDO1,Account,SalesforceDotCom,SFDC,Profile,ACTIVE,OK,True,SUCCESS,OK,2025-12-31T17:05:37.000Z,89,0,0,Account_DCCDO1__dll,ACTIVE,ssot__Account__dlm; ssot__Party__dlm,2,UPSERT,,1dsam000000ARdFAAW
Account_FinsDC1,Account_FinsDC1,SalesforceDotCom_FinsDC1,Account,SalesforceDotCom,SFDC,Profile,ACTIVE,OK,True,SUCCESS,OK,2025-12-31T17:05:40.000Z,127,0,0,Account_FinsDC1__dll,ACTIVE,ssot__Account__dlm; ssot__Party__dlm,2,UPSERT,,1dsam000000AQvpAAG
Account_FinsDC4,Account_FinsDC4,SalesforceDotCom_FinsDC4,Account,SalesforceDotCom,SFDC,Profile,ACTIVE,OK,True,SUCCESS,OK,2025-12-31T17:05:40.000Z,146,0,0,Account_FinsDC4__dll,ACTIVE,ssot__Account__dlm; ssot__Party__dlm,2,UPSERT,,1dsam000000GmBxAAK
Account_Home,Account,SalesforceDotCom_Home,Account,SalesforceDotCom,SFDC,Profile,ACTIVE,OK,True,SUCCESS,OK,2026-05-28T03:07:34.000Z,36222,36222,36223,Account_Home__dll,ACTIVE,ssot__Account__dlm; ssot__ContactPointAddress__dlm; ssot__ContactPointEmail__dlm; ssot__ContactPointPhone__dlm; ssot__Party__dlm,5,UPSERT,,1dsam0000009GC1AAM
Account_InsuranceAFDC,Account_InsuranceAFDC,SalesforceDotCom_InsuranceAFDC,Account,SalesforceDotCom,SFDC_PACKAGE_KIT,Profile,ACTIVE,OK,True,SUCCESS,OK,2026-07-02T16:50:37.000Z,167,0,0,Account_InsuranceAFDC__dll,ACTIVE,ins_Account__dlm; ins_ContactPointAddress__dlm; ins_ContactPointEmail__dlm; ins_ContactPointPhone__dlm; ssot__Account__dlm; ssot__ContactPointAddress__dlm; ssot__ContactPointPhone__dlm,7,UPSERT,BATCH,1dsam000000KldxAAC
AccountAccountRelationship,AccountAccountRelationship,SalesforceDotCom_Home,FinServ__AccountAccountRelation__c,SalesforceDotCom,SFDC,Profile,ACTIVE,OK,True,SUCCESS,OK,2026-05-26T15:13:53.000Z,116,116,117,AccountAccountRelationship__dll,ACTIVE,,0,UPSERT,,1dsam000000J1rdAAC
AccountContactRelation_Home,AccountContactRelation_Home,SalesforceDotCom_Home,AccountContactRelation,SalesforceDotCom,SFDC,Profile,ERROR,WARN,True,SUCCESS,OK,2026-06-25T21:06:12.000Z,24986,0,0,AccountContactRelation_Home__dll,ACTIVE,,0,UPSERT,BATCH,1dsam000000J1urAAC
Activities_Snow,Activities_Snow,Jedi_Snowflake,,SNOWFLAKE,EXTERNAL,Engagement,ACTIVE,OK,True,SUCCESS,OK,2025-12-29T06:01:01.000Z,100,0,100,Activities_Snow__dll,ACTIVE,ssot__Activity__dlm,1,TOTAL_REPLACE,,1dsam000000JFplAAG
ActivityInsight_00Dam00000Uo32q,ActivityInsight_00Dam00000Uo32q,ECI_ECI_S3,,ECI,CONNECTORSFRAMEWORK,Engagement,ACTIVE,OK,True,SUCCESS,OK,2026-07-02T16:21:56.000Z,911,0,0,ActivityInsight_00Dam00000Uo32q__dll,ACTIVE,,0,UPSERT,HOURLY,1dsam000000NFfuAAG
ActivityInsightAction_00Dam00000Uo32q,ActivityInsightAction_00Dam00000Uo32q,ECI_ECI_S3,,ECI,CONNECTORSFRAMEWORK,Other,ACTIVE,OK,True,SUCCESS,OK,2026-07-02T16:19:49.000Z,2932,0,0,ActivityInsightAction_00Dam00000Uo32q__dll,ACTIVE,,0,UPSERT,HOURLY,1dsam000000NFfxAAG
ActivityInsightActionDtl_00Dam00000Uo32q,ActivityInsightActionDtl_00Dam00000Uo32q,ECI_ECI_S3,,ECI,CONNECTORSFRAMEWORK,Other,ACTIVE,OK,True,SUCCESS,OK,2026-07-02T16:30:54.000Z,2928,0,0,ActivityInsightActionDtl_00Dam00000Uo32q__dll,ACTIVE,,0,UPSERT,HOURLY,1dsam000000NFfyAAG
ActivityInsightSubjctDtl_00Dam00000Uo32q,ActivityInsightSubjctDtl_00Dam00000Uo32q,ECI_ECI_S3,,ECI,CONNECTORSFRAMEWORK,Other,ACTIVE,OK,True,SUCCESS,OK,2026-07-02T16:26:22.000Z,0,0,0,ActivityInsightSubjctDtl_00Dam00000Uo32q__dll,ACTIVE,,0,UPSERT,HOURLY,1dsam000000NFfwAAG
ActivityInsightSubject_00Dam00000Uo32q,ActivityInsightSubject_00Dam00000Uo32q,ECI_ECI_S3,,ECI,CONNECTORSFRAMEWORK,Other,ACTIVE,OK,True,SUCCESS,OK,2026-07-02T16:14:55.000Z,0,0,0,ActivityInsightSubject_00Dam00000Uo32q__dll,ACTIVE,,0,UPSERT,HOURLY,1dsam000000NFfvAAG
AgentOpt_Tag_1A38A90B,AgentOpt-Tag,AgentOpt_dbb403b0_9256_4d62_91a5_84836f3b8067,,IngestApi,INGESTAPI,Other,ACTIVE,OK,True,SUCCESS,OK,2026-07-02T07:32:24.000Z,5,0,0,AgentOpt_Tag_1A38A90B__dll,ACTIVE,,0,UPSERT,,1dsam000000KHUYAA4
