DLO Name,Label,Category,Status,Field Count,Primary Key(s),Created Date,Last Refreshed
AIRetrieverRequest__dll,AIRetrieverRequest,Engagement,ACTIVE,20,id__c,2026-06-18T09:00:43.000Z,2026-07-02T16:58:24.000Z
AIRetrieverResponse__dll,AIRetrieverResponse,Engagement,ACTIVE,16,id__c,2026-06-18T09:01:29.000Z,2026-07-02T16:59:06.000Z
AJG_Test_Output_DLO__dll,AJG Test Output DLO,Other,ACTIVE,16,RecordId__c,2025-11-18T16:49:09.000Z,
AbnExperimentCohort_Home__dll,AbnExperimentCohort_Home,Other,ACTIVE,24,Id__c,2025-11-25T17:21:22.000Z,2026-07-02T17:00:36.000Z
AbnExperiment_Home__dll,AbnExperiment_Home,Other,ACTIVE,38,Id__c,2025-11-25T17:21:29.000Z,2026-07-02T17:00:36.000Z
AbnExperimentationDailySummary__dll,AbnExperimentationDailySummary,Other,ACTIVE,21,Id__c,2025-11-25T17:25:56.000Z,
AbnExperimentationSummary__dll,AbnExperimentationSummary,Other,ACTIVE,29,Id__c,2025-11-25T17:26:07.000Z,
Acc_DefaultAttribution_FT_DCO__dll,Acc_DefaultAttribution_FT_DCO,Engagement,ACTIVE,21,PersonalizationAttrPk__c,2024-10-16T13:58:35.000Z,
Acc_DefaultAttribution_FT_DO__dll,Acc_DefaultAttribution_FT_DO,Engagement,ACTIVE,20,PersonalizationAttrPk__c,2024-10-16T13:58:27.000Z,
Acc_DefaultAttribution_LT_DCO__dll,Acc_DefaultAttribution_LT_DCO,Engagement,ACTIVE,21,PersonalizationAttrPk__c,2024-10-16T13:59:49.000Z,
Acc_DefaultAttribution_LT_DO__dll,Acc_DefaultAttribution_LT_DO,Engagement,ACTIVE,20,PersonalizationAttrPk__c,2024-10-16T13:59:29.000Z,
AccountAccountRelationship__dll,AccountAccountRelationship,Profile,ACTIVE,35,Id__c,2025-05-05T19:51:11.000Z,2026-05-26T15:13:53.000Z
AccountContactRelation_Home__dll,AccountContactRelation_Home,Profile,ACTIVE,33,Id__c,2025-05-05T20:16:56.000Z,2026-06-25T21:06:12.000Z
Account_B2B_DLO__dll,Account B2B DLO,Profile,ACTIVE,40,Id__c,2024-07-26T20:30:49.000Z,2026-07-01T12:42:03.000Z
Account_B2C_DLO__dll,Account B2C DLO,Profile,ACTIVE,16,Id__c,2024-07-26T20:30:14.000Z,2025-01-09T18:05:40.000Z
Account_DCCDO1__dll,Account_DCCDO1,Profile,ACTIVE,196,Id__c,2024-08-07T20:33:07.000Z,2025-12-31T17:05:37.000Z
Account_FinsDC1__dll,Account_FinsDC1,Profile,ACTIVE,37,Id__c,2024-08-07T20:18:03.000Z,2025-12-31T17:05:40.000Z
Account_FinsDC4__dll,Account_FinsDC4,Profile,ACTIVE,70,Id__c,2024-09-26T02:23:15.000Z,2025-12-31T17:05:40.000Z
Account_Home__dll,Account_Home,Profile,ACTIVE,197,Id__c,2024-07-26T20:06:18.000Z,2026-05-28T03:07:34.000Z
Account_InsuranceAFDC__dll,Account_InsuranceAFDC,Profile,ACTIVE,60,Id__c,2025-10-08T21:38:30.000Z,2026-07-02T17:00:39.000Z
Account_chunk__dll,Account chunk,Content,ACTIVE,12,RecordId__c,2025-09-10T02:36:02.000Z,
Account_index__dll,Account index,Vector_Embedding,ACTIVE,9,RecordId__c,2025-09-10T02:36:27.000Z,
Account_transcribe__dll,Account transcribe,Content,ACTIVE,12,RecordId__c,2025-09-10T02:36:14.000Z,
AccountsWithOpportunitiesDenormalized__dll,AccountsWithOpportunitiesDenormalized,Other,ACTIVE,66,Id__c,2024-11-04T02:40:02.000Z,2024-11-04T02:47:05.000Z
Activities_Snow__dll,Activities_Snow,Engagement,ACTIVE,14,activity_id__c,2025-05-22T14:42:00.000Z,2025-12-29T06:01:01.000Z
ActivityInsightActionDtl_00Dam00000Uo32q__dll,ActivityInsightActionDtl_00Dam00000Uo32q,Other,ACTIVE,10,Id__c,2025-04-09T02:01:12.000Z,2026-07-02T16:30:54.000Z
ActivityInsightAction_00Dam00000Uo32q__dll,ActivityInsightAction_00Dam00000Uo32q,Other,ACTIVE,10,Id__c,2025-04-09T02:00:54.000Z,2026-07-02T16:19:49.000Z
ActivityInsightSubjctDtl_00Dam00000Uo32q__dll,ActivityInsightSubjctDtl_00Dam00000Uo32q,Other,ACTIVE,10,Id__c,2025-04-09T02:00:33.000Z,2026-07-02T16:26:22.000Z
ActivityInsightSubject_00Dam00000Uo32q__dll,ActivityInsightSubject_00Dam00000Uo32q,Other,ACTIVE,9,Id__c,2025-04-09T02:01:08.000Z,2026-07-02T16:14:55.000Z
ActivityInsight_00Dam00000Uo32q__dll,ActivityInsight_00Dam00000Uo32q,Engagement,ACTIVE,17,Id__c,2025-04-09T02:00:59.000Z,2026-07-02T16:21:56.000Z
AgentOpt_Tag_1A38A90B__dll,AgentOpt-Tag,Other,ACTIVE,15,Id__c,2025-09-05T14:12:38.000Z,2026-07-02T07:32:24.000Z
AgentOpt_Tag_Association_FEBD952C__dll,AgentOpt-Tag Association,Engagement,ACTIVE,24,Id__c,2026-03-18T02:19:29.000Z,2026-07-01T18:21:16.000Z
AgentOpt_Tag_Def_1A38A908__dll,AgentOpt-Tag Def,Other,ACTIVE,20,Id__c,2025-09-05T14:12:25.000Z,2026-07-02T07:33:26.000Z
AgentOpt_Tag_Def_Association_1A38A90B__dll,AgentOpt-Tag Def Association,Other,ACTIVE,13,Id__c,2025-09-05T14:12:48.000Z,2026-07-02T08:20:13.000Z
Agntfrc_Sls_Coach_Analytics_Opp_Users__dll,Agntfrc Sls Coach Analytics Opp Users,Other,ACTIVE,14,Opportunity_ID__c,2025-02-18T01:41:53.000Z,2025-03-07T08:05:55.000Z
Agntfrc_Sls_Coach_Analytics_Tasks__dll,Agntfrc Sls Coach Analytics Tasks,Other,ACTIVE,10,Opportunity_Task_ID__c,2025-02-18T01:41:50.000Z,2025-03-07T08:06:15.000Z
Agntfrc_Sls_Coach_Analytics_W_Coach__dll,Agntfrc Sls Coach Analytics W Coach,Other,ACTIVE,21,Opportunity_Task_ID__c,2025-02-18T01:41:44.000Z,2025-03-07T08:06:14.000Z
Agntfrc_Sls_Coach_Analytics_Wo_Coach__dll,Agntfrc Sls Coach Analytics Wo Coach,Other,ACTIVE,14,Opportunity_ID__c,2025-02-18T01:41:39.000Z,2025-03-07T08:05:55.000Z
AiAgentGenerativeAiUsage__dll,AiAgentGenerativeAiUsage,Engagement,ACTIVE,40,id__c,2026-05-18T13:27:38.000Z,2026-07-02T17:01:05.000Z
AiAgentInteractionMessage__dll,AiAgentInteractionMessage,Engagement,ACTIVE,28,id__c,2025-08-22T17:32:49.000Z,2026-07-02T17:00:44.000Z
AiAgentInteractionStep__dll,AiAgentInteractionStep,Profile,ACTIVE,28,id__c,2025-08-22T17:32:58.000Z,2026-07-02T17:00:01.000Z
AiAgentInteraction__dll,AiAgentInteraction,Engagement,ACTIVE,25,id__c,2025-08-22T17:32:29.000Z,2026-07-02T17:00:22.000Z
AiAgentMessageAttachmentBridge__dll,AiAgentMessageAttachmentBridge,Engagement,ACTIVE,16,id__c,2025-11-08T03:00:20.000Z,2026-07-02T17:02:30.000Z
AiAgentSessionAttachmentBridge__dll,AiAgentSessionAttachmentBridge,Engagement,ACTIVE,16,id__c,2025-11-08T03:00:29.000Z,2026-07-02T17:02:58.000Z
AiAgentSessionLog__dll,AiAgentSessionLog,Engagement,ACTIVE,27,id__c,2026-06-13T14:00:38.000Z,2026-07-02T16:53:43.000Z
AiAgentSessionParticipant__dll,AiAgentSessionParticipant,Engagement,ACTIVE,23,id__c,2025-08-22T17:32:39.000Z,2026-07-02T16:59:16.000Z
