Stream Name,Connector Type,Status,Last Run Status,Run Health,Last Refresh Date,Total Records,DLO Name
DataSrcDataModelFieldMap_Home,SalesforceDotCom,ERROR,FAILURE,FAIL,2025-07-05T09:06:11.000Z,3382,DataSrcDataModelFieldMap_Home__dll
Engagement_Google_Analytics,CDataJdbcGoogleAnalytics,ACTIVE,FAILURE,FAIL,2025-06-26T02:14:07.000Z,0,Engagement_Google_Analytics__dll
Events_Google_Analytics,CDataJdbcGoogleAnalytics,ACTIVE,FAILURE,FAIL,2025-06-26T04:28:42.000Z,0,Events_Google_Analytics__dll
KnowledgeArticleVersion_Home,SalesforceDotCom,ACTIVE,FAILURE,FAIL,2026-05-19T16:25:37.000Z,0,KnowledgeArticleVersion_Home__dll
Knowledge_kav_Home,SalesforceDotCom,ERROR,FAILURE,FAIL,2025-03-23T06:15:35.000Z,191,Knowledge_kav_Home__dll
MktDataLakeField_Home,SalesforceDotCom,ACTIVE,FAILURE,FAIL,2025-10-11T04:25:37.000Z,11191,MktDataLakeField_Home__dll
ObservabilitySpans,Observability,ACTIVE,FAILURE,FAIL,,0,ObservabilitySpans__dll
AccountContactRelation_Home,SalesforceDotCom,ERROR,SUCCESS,OK,2026-06-25T21:06:12.000Z,24986,AccountContactRelation_Home__dll
EventRelation_Home,SalesforceDotCom,ERROR,SUCCESS,OK,2026-06-22T17:35:39.000Z,0,EventRelation_Home__dll
CumulusBoardExExecIntel,SNOWFLAKE,ACTIVE,NONE,WARN,,957141,CumulusBoardExExecIntel__dll
CumulusCoreLogicProperty,SNOWFLAKE,ACTIVE,NONE,WARN,,50848,CumulusCoreLogicProperty__dll
CumulusEsriGeoFootprint,SNOWFLAKE,ACTIVE,NONE,WARN,,39981,CumulusEsriGeoFootprint__dll
CumulusGongCallSentiment,SNOWFLAKE,ACTIVE,NONE,WARN,,1067585,CumulusGongCallSentiment__dll
CumulusMgpFinancialPlans,SNOWFLAKE,ACTIVE,NONE,WARN,,957141,CumulusMgpFinancialPlans__dll
CumulusMoodysMarketContext,SNOWFLAKE,ACTIVE,NONE,WARN,,1412293,CumulusMoodysMarketContext__dll
CumulusPlaidHeldAway,SNOWFLAKE,ACTIVE,NONE,WARN,,165680,CumulusPlaidHeldAway__dll
CumulusSynthRelationshipGraph,SNOWFLAKE,ACTIVE,NONE,WARN,,61769,CumulusSynthRelationshipGraph__dll
CumulusWorldCheckAml,SNOWFLAKE,ACTIVE,NONE,WARN,,1325326,CumulusWorldCheckAml__dll
CumulusZoomInfoFirmographics,SNOWFLAKE,ACTIVE,NONE,WARN,,34170,CumulusZoomInfoFirmographics__dll
DC_UnifiedssotIndividualIr1,DATACLOUD,ACTIVE,NONE,WARN,,10000159,DC_UnifiedssotIndividualIr1__dll
Databricks_File_Federation_Sample,DATABRICKS_UNITY,ACTIVE,NONE,WARN,,102,Databricks_File_Federation_Sample__dll
Experience_Cloud_Event_Connector_contactPointAddress_8AE4378C,StreamingApp,ACTIVE,IN_PROGRESS,WARN,,0,Experience_Cloud_Event_Connecto_8AE4378C__dll
Experience_Cloud_Event_Connector_contactPointEmail_8AE437A8,StreamingApp,ACTIVE,IN_PROGRESS,WARN,,0,Experience_Cloud_Event_Connecto_8AE437A8__dll
Experience_Cloud_Event_Connector_contactPointPhone_8AE437C8,StreamingApp,ACTIVE,IN_PROGRESS,WARN,,0,Experience_Cloud_Event_Connecto_8AE437C8__dll
Financial_Transactions_AWSRedshift,REDSHIFT,ACTIVE,NONE,WARN,,2188,Financial_Transactions_AWSRedshift__dll
Financial_Transactions_Redshift,REDSHIFT,ACTIVE,NONE,WARN,,0,Financial_Transactions_Redshift__dll
MCC_Table,SNOWFLAKE,ACTIVE,NONE,WARN,,324,MCC_Table__dll
PersonalizationDecision_00D5t000000FlSs,SalesforceDotCom,ERROR,NONE,WARN,,0,PersonalizationDecision_Home__dll
PersonalizationPoint_00D5t000000FlSs,SalesforceDotCom,ACTIVE,NONE,WARN,,0,PersonalizationPoint_Home__dll
PersonalizationRecommend_00D5t000000FlSs,SalesforceDotCom,ACTIVE,NONE,WARN,,0,PersonalizationRecommender_Home__dll
PersonalizationSchema_00D5t000000FlSs,SalesforceDotCom,ACTIVE,NONE,WARN,,0,PersonalizationSchema_Home__dll
account_Databricks,Databricks,ACTIVE,NONE,WARN,,3,account_Databricks__dll
asset_Databricks,Databricks,ACTIVE,NONE,WARN,,2,asset_Databricks__dll
claims_Databricks,Databricks,ACTIVE,NONE,WARN,,1000000,claims_Databricks__dll
contact_202401_Databricks,Databricks,ACTIVE,NONE,WARN,,3,contact_202401_Databricks__dll
contact_202402_Databricks,Databricks,ACTIVE,NONE,WARN,,3,contact_202402_Databricks__dll
contact_202403_Databricks,Databricks,ACTIVE,NONE,WARN,,3,contact_202403_Databricks__dll
contact_202404_Databricks,Databricks,ACTIVE,NONE,WARN,,3,contact_202404_Databricks__dll
contact_202405_Databricks,Databricks,ACTIVE,NONE,WARN,,3,contact_202405_Databricks__dll
contact_202406_Databricks,Databricks,ACTIVE,NONE,WARN,,3,contact_202406_Databricks__dll
contact_202407_Databricks,Databricks,ACTIVE,NONE,WARN,,3,contact_202407_Databricks__dll
contact_202408_Databricks,Databricks,ACTIVE,NONE,WARN,,3,contact_202408_Databricks__dll
contact_202409_Databricks,Databricks,ACTIVE,NONE,WARN,,3,contact_202409_Databricks__dll
contact_202410_Databricks,Databricks,ACTIVE,NONE,WARN,,3,contact_202410_Databricks__dll
contact_202411_Databricks,Databricks,ACTIVE,NONE,WARN,,3,contact_202411_Databricks__dll
contact_202412_Databricks,Databricks,ACTIVE,NONE,WARN,,3,contact_202412_Databricks__dll
contact_Databricks,Databricks,ACTIVE,NONE,WARN,,3,contact_Databricks__dll
csat_nps_data_Databricks,Databricks,ACTIVE,NONE,WARN,,10,csat_nps_data_Databricks__dll
invoiceitems_Databricks,Databricks,ACTIVE,NONE,WARN,,3,invoiceitems_Databricks__dll
invoices_Databricks,Databricks,ACTIVE,NONE,WARN,,2,invoices_Databricks__dll
meterreads_Databricks,Databricks,ACTIVE,NONE,WARN,,1008,meterreads_Databricks__dll
outliers_Databricks,Databricks,ACTIVE,NONE,WARN,,47,outliers_Databricks__dll
premises_Databricks,Databricks,ACTIVE,NONE,WARN,,2,premises_Databricks__dll
product_Databricks,Databricks,ACTIVE,NONE,WARN,,3,product_Databricks__dll
transactions_Databricks,Databricks,ACTIVE,NONE,WARN,,2,transactions_Databricks__dll
