Source Object,Stream Count,Connector Type(s),Mapped DMO Count,Mapped DMOs,Total Records
(none),177,AIPlatform; AwsS3; AzureSql; CDataJdbcGoogleAnalytics; DATABRICKS_UNITY; DATACLOUD; Databricks; ECI; EventBusConnector; HerokuPostgres; IngestApi; Observability; REDSHIFT; SNOWFLAKE; StreamingApp; TenantBillingUsageConnector; UploadedFiles,42,Attrition_Inputs_Snowflake__dlm; BUSINESS_PRODUCT_RECOMMENDATION_INPU__dlm; BUSINESS_PRODUCT_RECOMMENDATION__dlm; Bank_Churner__dlm; CSAT_Prediction_Input__dlm; CSAT_Snowflake__dlm; Churn_Training_Data__dlm; Claim_Snowflake_InsAFDC__dlm; CumulusBoardExExecIntel__dlm; CumulusClaritasDemographics__dlm; CumulusCoreLogicProperty__dlm; CumulusDnBBusinessCredit__dlm; CumulusEsriGeoFootprint__dlm; CumulusGongCallSentiment__dlm; CumulusMSCIESG__dlm; CumulusMgpFinancialPlans__dlm; CumulusMoodysMarketContext__dlm; CumulusPlaidHeldAway__dlm; CumulusSynthRelationshipGraph__dlm; CumulusWorldCheckAml__dlm; CumulusZoomInfoFirmographics__dlm; Data_Masking__dlm; Databricks_File_Federation_Sample__dlm; Dataforce_Car_Telematics__dlm; Enrollments__dlm; Financial_Trades__dlm; Financial_Transactions_AWSRedshift__dlm; Financial_Transactions_Redshift__dlm; Loan_Delinquencies__dlm; ML_Loan_Chargeoffs__dlm; PERSONAL_PRODUCT_RECOMMENDATION_INPU__dlm; PERSONAL_PRODUCT_RECOMMENDATION_TRAI__dlm; Profile_Main__dlm; SEC_Filings__dlm; SRDO_Unified_Members__dlm; ins_Claim_Snowflake_InsAFDC__dlm; ins_Payment_Snowflake_InsAFDC__dlm; ins_Policy_Snowflake_InsAFDC__dlm; ssot__Activity__dlm; ssot__EngagementAction__dlm; ssot__FinancialAccountTransaction__dlm; ssot__WebsiteEngagement__dlm,135185337
Account,5,SalesforceDotCom,9,ins_Account__dlm; ins_ContactPointAddress__dlm; ins_ContactPointEmail__dlm; ins_ContactPointPhone__dlm; ssot__Account__dlm; ssot__ContactPointAddress__dlm; ssot__ContactPointEmail__dlm; ssot__ContactPointPhone__dlm; ssot__Party__dlm,36751
CurrencyType,5,SalesforceDotCom,0,,5
Lead,5,SalesforceDotCom,7,ssot__ContactPointAddress__dlm; ssot__ContactPointEmail__dlm; ssot__ContactPointPhone__dlm; ssot__IdentityMatch__dlm; ssot__Individual__dlm; ssot__Lead__dlm; ssot__Party__dlm,2943
Opportunity,5,SalesforceDotCom,1,ssot__Opportunity__dlm,32939
Case,4,SalesforceDotCom,1,ssot__Case__dlm,11230
Contact,2,SalesforceDotCom,5,ssot__AccountContact__dlm; ssot__ContactPointAddress__dlm; ssot__ContactPointEmail__dlm; ssot__ContactPointPhone__dlm; ssot__Individual__dlm,25979
OpportunityContactRole,2,SalesforceDotCom,1,ssot__OpportunityContact__dlm,43
Pricebook2,2,SalesforceDotCom,1,ssot__PriceBook__dlm,20
PricebookEntry,2,SalesforceDotCom,1,ssot__PriceBookEntry__dlm,626
Quote,2,SalesforceDotCom,1,ssot__Quote__dlm,14
User,2,SalesforceDotCom,1,ssot__User__dlm,193
AbnExperiment,1,SalesforceDotCom,1,ssot__AbnExperiment__dlm,0
AbnExperimentCohort,1,SalesforceDotCom,1,ssot__AbnExperimentCohort__dlm,0
FinServ__AccountAccountRelation__c,1,SalesforceDotCom,0,,116
AccountContactRelation,1,SalesforceDotCom,0,,24986
AiAgentTagDefAssoc,1,SalesforceDotCom,1,ssot__AiAgentTagDefinitionAssociation__dlm,16
AiGroundingFileRef,1,SalesforceDotCom,1,AiGroundingFileRefCustom__dlm,116
AiTagDefinition,1,SalesforceDotCom,1,ssot__AiAgentTagDefinition__dlm,16
AiTagValue,1,SalesforceDotCom,1,ssot__AiAgentTag__dlm,72
FinServ__Alert__c,1,SalesforceDotCom,1,ssot__RecordAlert__dlm,0
BotDefinition,1,SalesforceDotCom,2,BotDefinition_Home__dlm; ssot__Bot__dlm,16
BotVersion,1,SalesforceDotCom,2,BotVersion_Home__dlm; ssot__BotVersion__dlm,17
BulkMessage,1,SalesforceDotCom,1,ssot__BulkMessage__dlm,0
Campaign,1,SalesforceDotCom,1,ssot__Campaign__dlm,38
