Stream Name,Data Source,Source Object,Connector Type,Category,Total Records,DLO Name,Last Refresh Date
Financial_Transactions_Snow_XL,Jedi_Snowflake,,SNOWFLAKE,Engagement,100000000,Financial_Transactions_Snow_XL__dll,2026-02-12T17:20:54.000Z
Flow_Run_Ingestion_FlowElementRun_2EE55616,Flow_Run_Ingestion_40d11b72_942a_46c3_99aa_c7fa36695867,,IngestApi,Engagement,13925642,Flow_Run_Ingestion_FlowElementR_2EE55616__dll,2026-07-02T10:32:31.000Z
claims_Databricks,Databricks_Databricks,,Databricks,Profile,1000000,claims_Databricks__dll,
Clean_Room_Engagement_Data,UploadedFiles,,UploadedFiles,Engagement,200000,Clean_Room_Engagement_Data__dll,2026-02-10T11:04:43.000Z
remote_connection_incremental_sync_feed,remote_connection_incremental,,IngestApi,Engagement,125929,remote_connection_incremental_sync_feed__dll,2026-07-02T16:42:45.000Z
Clean_Room_Customer_Data,UploadedFiles,,UploadedFiles,Profile,100000,Clean_Room_Customer_Data__dll,2026-02-10T09:05:16.000Z
ApiEventStream_Salesforce_Platform_Event,Salesforce_Platform_Events,,EventBusConnector,Engagement,96843,ApiEventStream_Salesforce_Platform_Event__dll,2026-07-02T16:32:29.000Z
customer_test,Jedi_Snowflake,,SNOWFLAKE,Profile,50000,customer_test__dll,
remote_connection_full_sync_feed,remote_connection_full,,IngestApi,Engagement,49590,remote_connection_full_sync_feed__dll,2025-12-19T08:37:37.000Z
Flow_Run_Ingestion_FlowRun_2EE55616,Flow_Run_Ingestion_40d11b72_942a_46c3_99aa_c7fa36695867,,IngestApi,Engagement,36836,Flow_Run_Ingestion_FlowRun_2EE55616__dll,2026-07-02T10:31:09.000Z
AccountContactRelation_Home,SalesforceDotCom_Home,AccountContactRelation,SalesforceDotCom,Profile,24986,AccountContactRelation_Home__dll,2026-06-25T21:06:12.000Z
MktDataModelField_Home,SalesforceDotCom_Home,MktDataModelField,SalesforceDotCom,Other,21743,MktDataModelField_Home__dll,2025-12-31T18:00:37.000Z
LightningUriEventStream_Salesforce_Platf,Salesforce_Platform_Events,,EventBusConnector,Engagement,16248,LightningUriEventStream_Salesforce_Platf__dll,2026-07-02T16:25:15.000Z
LoginEventStream_Salesforce_Platform_Eve,Salesforce_Platform_Events,,EventBusConnector,Engagement,12600,LoginEventStream_Salesforce_Platform_Eve__dll,2026-07-02T16:30:59.000Z
MktDataLakeField_Home,SalesforceDotCom_Home,MktDataLakeField,SalesforceDotCom,Other,11191,MktDataLakeField_Home__dll,2025-10-11T04:25:37.000Z
Task_Home,SalesforceDotCom_Home,Task,SalesforceDotCom,Other,11011,Task_Home__dll,2026-05-26T15:12:34.000Z
ML_Attrition_Training_Data,Heroku_Postgres,,HerokuPostgres,Profile,10000,ML_Attrition_Training_Data__dll,2026-02-12T17:20:41.000Z
Cloned_Transactions,Jedi_Snowflake,,SNOWFLAKE,Other,8748,Cloned_Transactions__dll,
AiAgentInteractionStep,AIPlatform_AGENT_SESSION_TRACING,,AIPlatform,Profile,8551,AiAgentInteractionStep__dll,2026-07-02T16:51:25.000Z
CumulusWebsite_Behavioral_Events_7F44305A,CumulusWebsite_588805e2_2c6b_4305_82d4_7073937ae781,,StreamingApp,Engagement,5848,CumulusWebsite_Behavioral_Event_7F44305A__dll,2026-07-02T10:04:13.000Z
CSAT_Prediction_Training,Heroku_Postgres,,HerokuPostgres,Other,5000,CSAT_Prediction_Training__dll,2026-02-12T17:24:26.000Z
AiAgentSessionParticipant,AIPlatform_AGENT_SESSION_TRACING,,AIPlatform,Engagement,4947,AiAgentSessionParticipant__dll,2026-07-02T16:45:19.000Z
